HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT
2.0,0.574842,1.86,0.42515802,1.0
2.5,0.59063804,1.58,0.40936187,0.0
2.01,0.5262341,1.86,0.47376597,1.0
1.66,0.4358573,2.32,0.56414264,0.0
1.79,0.6583602,2.1,0.3416398,1.0
2.31,0.5643161,1.67,0.435684,1.0
1.37,0.5789621,3.29,0.4210379,1.0
1.32,0.6428472,3.55,0.3571528,1.0
1.52,0.66944325,2.65,0.33055675,0.0
1.69,0.5868151,2.27,0.41318494,1.0
1.74,0.6262903,2.18,0.3737097,1.0
1.61,0.70842755,2.44,0.2915725,1.0
1.37,0.54611427,3.29,0.4538857,0.0
1.74,0.6172595,2.19,0.38274047,0.0
1.49,0.5812034,2.73,0.4187966,0.0
2.22,0.517829,1.71,0.48217097,1.0
1.75,0.59965086,2.12,0.40034917,0.0
2.18,0.5593794,1.74,0.44062057,1.0
1.94,0.49686155,1.91,0.5031384,1.0
1.61,0.43235618,2.43,0.56764376,0.0
1.55,0.62605035,2.58,0.3739496,1.0
1.78,0.6465866,2.11,0.35341343,0.0
1.71,0.53968394,2.23,0.46031606,0.0
1.57,0.6388527,2.53,0.36114728,0.0
2.03,0.6314747,1.84,0.3685253,1.0
1.86,0.65434736,2.0,0.34565267,0.0
2.07,0.52928513,1.81,0.47071487,0.0
1.82,0.6580779,2.06,0.34192207,1.0
1.45,0.5974364,2.88,0.40256354,1.0
1.67,0.60407776,2.29,0.39592227,0.0
2.52,0.47331324,1.57,0.5266868,1.0
1.84,0.594179,2.02,0.40582106,0.0
2.08,0.562655,1.8,0.43734512,1.0
1.69,0.43448913,2.25,0.56551087,0.0
1.71,0.45656,2.24,0.54344004,0.0
1.56,0.68243116,2.56,0.31756887,1.0
2.11,0.5229733,1.79,0.4770267,0.0
1.51,0.57004493,2.7,0.42995504,1.0
1.74,0.628845,2.15,0.37115505,0.0
1.71,0.5984395,2.22,0.40156046,1.0
1.84,0.6546502,2.04,0.3453498,1.0
1.69,0.5207077,2.27,0.47929224,1.0
1.51,0.5233094,2.7,0.4766906,0.0
1.38,0.7211369,3.23,0.27886304,1.0
1.82,0.5520696,2.05,0.44793043,0.0
1.99,0.56330913,1.88,0.4366909,1.0
1.56,0.59613025,2.55,0.40386972,1.0
1.66,0.62799317,2.33,0.3720068,0.0
1.81,0.57319164,2.07,0.42680836,1.0
1.96,0.63908714,1.9,0.3609129,1.0
2.15,0.58878636,1.75,0.41121367,0.0
2.74,0.5518835,1.49,0.44811648,1.0
2.2,0.57115316,1.73,0.42884675,1.0
1.53,0.5225731,2.62,0.47742692,0.0
1.83,0.667228,2.03,0.332772,1.0
2.07,0.54590094,1.82,0.45409906,1.0
1.3,0.564077,3.71,0.43592295,1.0
2.62,0.5663648,1.54,0.43363518,0.0
2.05,0.5690459,1.82,0.4309541,1.0
1.63,0.5999763,2.37,0.40002376,1.0
1.98,0.56496954,1.87,0.43503046,1.0
1.65,0.5882439,2.35,0.4117561,1.0
1.95,0.6215013,1.91,0.37849867,0.0
1.83,0.5763707,2.04,0.42362928,1.0
1.54,0.55401886,2.61,0.44598114,0.0
1.9,0.6266518,1.96,0.37334818,0.0
